,Player,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age at First Season,Age at Last Season,Num Season(s),MVP(s)
1301,Blake Griffin,PF,['LAC' 'TOT' 'DET' 'BRK'],51.8,47.8,31.6,6.7,14.3,46.5,1.0,3.2,30.5,5.7,11.2,51.0,50.6,3.9,5.4,72.5,1.6,5.8,7.4,4.2,0.8,0.4,2.2,2.6,18.4,21,32,12,0
1302,Luke Harangody,PF,['TOT' 'BOS' 'CLE'],29.8,0.2,12.9,1.5,4.1,37.7,0.3,1.4,23.2,1.2,2.7,43.8,41.3,0.4,0.6,72.1,0.9,2.0,2.9,0.6,0.3,0.3,0.3,1.4,3.8,23,24,2,0
1303,Manny Harris,SG,['CLE' 'LAL' 'DAL'],23.2,5.0,15.3,2.1,5.7,34.3,0.5,1.4,26.3,1.6,4.2,36.2,38.1,1.1,1.6,69.8,0.7,2.2,2.9,1.1,0.4,0.1,0.9,0.9,5.7,21,27,4,0
1304,Gordon Hayward,SF,['UTA' 'BOS' 'CHO'],61.2,47.6,29.0,5.1,11.2,46.1,1.3,3.6,34.8,3.8,7.6,53.6,51.5,3.1,3.7,82.2,0.7,3.6,4.3,3.2,0.9,0.4,1.8,1.7,14.6,20,31,12,0
1305,Lazar Hayward,SF,['MIN' 'OKC'],24.0,0.0,7.7,0.8,2.6,30.0,0.2,1.0,19.0,0.6,1.5,37.1,33.6,0.9,1.0,79.0,0.2,0.9,1.1,0.6,0.3,0.1,0.3,0.8,2.6,24,26,3,0
1306,Xavier Henry,SF,['MEM' 'NOH' 'LAL'],37.0,4.6,14.8,1.7,4.4,37.2,0.2,0.6,31.0,1.5,3.8,38.3,38.7,1.5,2.4,62.3,0.4,1.2,1.7,0.6,0.5,0.1,0.7,1.3,5.1,19,23,5,0
1307,Damion James,SF,['NJN' 'BRK' 'SAS'],9.8,4.2,12.6,1.0,2.7,34.7,0.0,0.2,0.0,1.0,2.6,37.6,34.7,0.6,0.8,77.0,0.5,2.3,2.8,0.5,0.4,0.4,0.7,1.1,2.6,23,26,4,0
1308,Eugene Jeter,PG,SAC,62.0,1.0,13.8,1.7,4.2,40.9,0.1,0.5,20.0,1.6,3.7,43.7,42.1,0.6,0.7,90.2,0.1,1.0,1.1,2.6,0.5,0.0,0.8,0.9,4.1,27,27,1,0
1309,Armon Johnson,PG,['POR' 'TOT' 'NJN'],14.0,0.0,10.2,1.7,3.4,59.3,0.1,0.2,36.1,1.6,3.2,60.0,60.5,0.4,0.5,86.4,0.1,1.1,1.2,1.0,0.6,0.0,0.8,0.7,3.9,21,22,2,0
1310,Chris Johnson,C,['TOT' 'POR' 'BOS' 'NOH' 'MIN' 'MEM' 'PHI' 'UTA' 'MIL'],20.6,0.6,12.7,1.3,3.2,45.7,0.4,1.4,30.2,0.9,1.7,53.9,50.4,0.6,0.8,80.2,0.6,1.4,1.9,0.4,0.5,0.4,0.6,1.4,3.8,22,27,6,0
1311,Wesley Johnson,SF,['MIN' 'PHO' 'LAL' 'LAC' 'TOT' 'NOP' 'WAS'],58.8,31.5,20.0,2.3,5.8,38.3,0.9,2.8,32.5,1.4,3.1,44.3,46.4,0.5,0.7,71.5,0.5,2.3,2.8,0.9,0.6,0.6,0.8,1.8,6.1,23,31,9,0
1312,Dominique Jones,SG,DAL,26.7,1.3,9.1,1.0,2.8,35.8,0.0,0.2,7.9,1.0,2.6,38.7,36.2,1.0,1.3,75.6,0.4,1.0,1.4,1.8,0.4,0.2,0.9,0.7,3.0,22,24,3,0
1313,Gani Lawal,PF,PHO,1.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22,22,1,0
1314,Jeremy Lin,PG,['GSW' 'NYK' 'HOU' 'LAL' 'CHO' 'BRK' 'TOT' 'ATL' 'TOR'],50.4,20.5,23.4,3.8,8.8,42.7,0.9,2.5,32.9,2.9,6.3,46.8,47.3,3.0,3.6,82.6,0.4,2.1,2.4,3.9,0.9,0.3,2.2,2.2,11.4,22,30,9,0
1315,Greg Monroe,C,['DET' 'MIL' 'TOT' 'PHO' 'BOS' 'TOR' 'PHI' 'MIN' 'WAS' 'UTA'],37.7,21.6,19.7,3.9,7.3,54.8,0.0,0.0,13.3,3.9,7.2,54.9,54.9,1.7,2.5,65.7,2.3,3.9,6.2,1.8,0.7,0.5,1.3,1.8,9.5,20,31,10,0
1316,Timofey Mozgov,C,['TOT' 'NYK' 'DEN' 'CLE' 'LAL' 'BRK'],48.3,30.6,16.9,2.5,4.7,52.5,0.0,0.1,17.1,2.5,4.6,53.6,52.8,1.2,1.7,73.5,1.6,3.0,4.6,0.5,0.3,0.8,1.1,2.1,6.2,24,31,8,0
1317,Hamady N'Diaye,C,['WAS' 'SAC'],11.0,0.0,3.8,0.2,0.4,37.8,0.0,0.0,,0.2,0.4,37.8,37.8,0.1,0.3,25.0,0.2,0.4,0.6,0.1,0.0,0.2,0.1,0.7,0.4,24,27,3,0
1318,Gary Neal,SG,['SAS' 'TOT' 'MIL' 'CHA' 'CHO' 'MIN' 'WAS' 'ATL'],41.6,3.2,20.5,3.4,8.4,37.9,1.1,3.1,33.6,2.3,5.3,40.2,44.1,1.7,1.9,87.3,0.2,1.8,2.0,1.6,0.4,0.0,1.0,1.4,9.5,26,32,7,0
1319,Larry Owens,SF,['TOT' 'SAS' 'WAS' 'NJN'],7.8,0.0,12.4,1.2,2.6,44.9,0.5,1.0,42.4,0.7,1.5,47.8,54.0,0.4,0.8,52.4,0.2,1.4,1.5,0.7,0.6,0.4,0.4,1.6,3.2,28,29,2,0
1320,Patrick Patterson,PF,['HOU' 'TOT' 'SAC' 'TOR' 'OKC' 'LAC'],57.0,10.5,21.3,2.9,6.3,45.0,0.8,2.2,31.8,2.1,4.1,50.2,52.4,0.6,0.8,74.5,1.3,2.9,4.1,1.0,0.5,0.4,0.7,1.7,7.2,21,31,11,0
1321,Nikola Peković,C,MIN,45.2,32.3,23.7,4.5,8.9,49.1,0.0,0.0,,4.5,8.9,49.1,49.1,2.7,3.6,77.2,2.7,3.5,6.2,0.8,0.5,0.5,1.5,2.2,11.7,25,30,6,0
1322,Dexter Pittman,C,['MIA' 'TOT' 'MEM' 'ATL'],10.2,1.0,4.1,0.5,1.3,32.2,0.0,0.0,,0.5,1.3,32.2,32.2,0.1,0.4,16.1,0.8,0.6,1.4,0.0,0.0,0.0,0.4,0.9,1.1,22,25,4,0
