,Player,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age at First Season,Age at Last Season,Num Season(s),MVP(s)
665,Michael Bradley,PF,['TOR' 'TOT' 'ATL' 'ORL' 'SAC' 'PHI'],20.7,1.4,7.9,0.9,1.6,52.3,0.0,0.1,7.3,0.9,1.5,55.2,52.3,0.2,0.4,48.7,0.6,1.4,2.0,0.3,0.1,0.1,0.4,0.8,2.0,22,26,5,0
666,Jamison Brewer,PG,['IND' 'NYK'],13.5,0.2,8.5,0.7,1.7,39.9,0.2,0.6,13.9,0.5,1.2,46.1,42.8,0.2,0.5,35.8,0.3,0.6,0.9,1.1,0.3,0.0,0.6,0.6,1.7,21,24,4,0
667,Primož Brezec,C,['IND' 'CHA' 'TOT' 'DET' 'TOR' 'PHI' 'MIL'],31.8,17.8,10.8,1.5,3.2,45.6,0.0,0.0,11.1,1.5,3.2,45.7,45.6,0.7,1.1,53.9,1.0,1.3,2.3,0.3,0.1,0.2,0.5,1.6,3.7,22,30,8,0
668,Damone Brown,SF,['PHI' 'TOR' 'NJN' 'WAS'],9.8,0.8,10.9,1.2,4.0,29.2,0.1,0.3,12.1,1.1,3.7,30.2,30.0,0.6,0.8,64.2,0.6,1.1,1.7,0.4,0.3,0.1,0.8,1.3,3.0,22,25,4,0
669,Ernest Brown,C,MIA,3.0,0.0,7.0,0.3,2.0,16.7,0.0,0.0,,0.3,2.0,16.7,16.7,0.3,1.3,25.0,0.3,1.7,2.0,0.0,0.0,0.3,1.0,1.3,1.0,22,22,1,0
670,Kedrick Brown,SF,['BOS' 'TOT' 'CLE' 'PHI'],33.0,10.3,13.6,1.4,3.4,40.0,0.4,1.2,23.5,1.1,2.2,50.9,44.3,0.5,0.7,65.2,0.6,1.7,2.3,0.8,0.6,0.2,0.5,1.2,3.7,20,23,4,0
671,Kwame Brown,C,['WAS' 'LAL' 'TOT' 'MEM' 'DET' 'CHA' 'GSW' 'PHI'],46.1,21.1,20.6,2.3,4.5,49.6,0.0,0.0,8.3,2.3,4.5,49.7,49.6,1.4,2.8,50.7,1.6,3.6,5.2,0.9,0.6,0.6,1.3,2.2,5.9,19,30,12,0
672,Tierre Brown,PG,['HOU' 'CLE' 'NOH' 'LAL'],33.5,0.2,10.2,1.3,3.2,43.5,0.1,0.3,23.1,1.2,2.8,44.0,44.9,0.7,1.0,70.6,0.3,0.9,1.2,1.8,0.4,0.0,1.4,0.6,3.4,22,25,4,0
673,Tyson Chandler,C,['CHI' 'NOK' 'NOH' 'CHA' 'DAL' 'NYK' 'PHO' 'TOT' 'LAL' 'HOU'],57.9,42.5,25.2,2.8,4.6,60.5,0.0,0.0,0.0,2.8,4.6,60.6,60.5,1.9,3.0,62.5,2.8,5.6,8.4,0.8,0.5,1.0,1.3,2.7,7.4,19,37,19,0
674,Speedy Claxton,PG,['PHI' 'SAS' 'GSW' 'TOT' 'NOH' 'NOK' 'ATL'],44.0,19.4,23.5,3.1,7.6,39.3,0.1,0.6,15.9,2.9,7.0,41.3,39.9,2.1,2.9,69.6,0.5,1.7,2.2,4.3,1.3,0.1,1.5,2.3,8.3,23,30,7,0
675,Jarron Collins,C,['UTA' 'PHO' 'TOT' 'LAC' 'POR'],47.5,18.0,13.1,1.0,2.3,39.9,0.0,0.0,0.0,1.0,2.3,40.0,39.9,1.0,1.5,67.1,1.1,1.3,2.4,0.6,0.2,0.1,0.5,2.0,3.0,23,32,10,0
676,Jason Collins,C,['NJN' 'TOT' 'MEM' 'MIN' 'ATL' 'BOS' 'WAS' 'BRK'],49.8,30.1,16.3,0.9,2.2,39.2,0.0,0.0,18.9,0.9,2.2,39.8,39.3,0.7,1.2,58.6,0.9,1.9,2.8,0.6,0.4,0.4,0.6,2.4,2.6,23,35,13,0
677,Joe Crispin,PG,['TOT' 'LAL' 'PHO'],14.0,0.0,6.8,1.1,3.0,34.8,0.6,1.6,27.1,0.5,1.4,37.8,42.9,0.6,0.6,90.8,0.1,0.4,0.5,1.0,0.2,0.0,0.4,0.4,3.4,22,22,1,0
678,Eddy Curry,C,['CHI' 'NYK' 'MIA' 'DAL'],47.9,37.4,19.3,3.7,6.8,55.9,0.0,0.0,100.0,3.7,6.8,55.9,55.9,2.3,3.8,58.7,1.4,2.6,4.0,0.4,0.2,0.5,1.9,2.7,9.7,19,30,11,0
679,Samuel Dalembert,C,['PHI' 'SAC' 'HOU' 'MIL' 'DAL' 'NYK'],68.2,53.4,22.9,3.0,5.8,51.2,0.0,0.0,11.1,3.0,5.8,51.3,51.2,1.2,1.8,68.5,2.4,4.9,7.4,0.5,0.5,1.6,1.4,2.8,7.2,20,33,13,0
680,DeSagana Diop,C,['CLE' 'DAL' 'TOT' 'NJN' 'CHA'],47.2,7.3,13.0,0.8,1.9,41.8,0.0,0.0,12.5,0.8,1.9,42.0,41.9,0.3,0.6,35.3,1.3,2.1,3.4,0.5,0.3,0.9,0.6,1.8,1.9,20,31,12,0
681,Predrag Drobnjak,C,['SEA' 'LAC' 'ATL'],69.5,24.0,19.6,3.2,7.5,42.6,0.2,0.6,25.3,3.0,6.8,43.4,44.0,1.2,1.4,79.8,1.1,2.3,3.5,0.8,0.5,0.4,0.9,1.8,7.7,26,29,4,0
682,Maurice Evans,SG,['MIN' 'SAC' 'DET' 'LAL' 'TOT' 'ORL' 'ATL' 'WAS'],54.6,14.9,18.6,2.4,5.6,43.2,0.7,2.0,31.4,1.7,3.6,48.4,49.1,0.8,1.0,79.4,0.9,1.3,2.2,0.8,0.5,0.1,0.4,1.7,6.4,23,33,9,0
683,Isaac Fontaine,SG,MEM,6.0,0.0,12.5,0.5,2.3,21.4,0.2,0.8,20.0,0.3,1.5,22.2,25.0,0.7,1.0,66.7,0.0,0.8,0.8,0.7,0.0,0.0,0.7,1.0,1.8,26,26,1,0
684,Alton Ford,PF,['PHO' 'HOU'],24.3,0.0,5.3,0.7,1.4,46.5,0.0,0.0,,0.7,1.4,46.5,46.5,0.4,0.7,52.3,0.3,0.9,1.2,0.2,0.0,0.1,0.4,1.2,1.8,20,22,3,0
685,Joseph Forte,SG,['BOS' 'SEA'],12.5,0.0,5.0,0.4,1.8,18.4,0.0,0.3,0.0,0.4,1.5,21.2,18.4,0.4,0.4,83.4,0.2,0.5,0.7,0.7,0.2,0.0,0.5,0.2,1.1,20,21,2,0
686,Antonis Fotsis,PF,MEM,28.0,1.0,11.4,1.5,3.7,40.4,0.3,0.8,30.4,1.3,2.9,43.2,43.8,0.6,0.7,85.0,0.9,1.3,2.2,0.4,0.3,0.4,0.8,0.8,3.9,20,20,1,0
687,Tremaine Fowlkes,SF,['LAC' 'DET' 'IND'],25.8,6.8,11.4,1.0,2.4,41.8,0.0,0.2,22.7,1.0,2.2,44.1,43.0,0.7,1.0,58.6,0.9,1.2,2.0,0.4,0.4,0.0,0.5,1.4,2.8,25,28,4,0
688,Pau Gasol,C,['MEM' 'TOT' 'LAL' 'CHI' 'SAS' 'MIL'],60.1,55.5,30.9,5.9,11.7,49.0,0.2,0.4,29.3,5.8,11.3,48.5,50.2,3.5,4.7,74.4,2.2,6.3,8.5,3.0,0.5,1.4,1.9,2.0,15.5,21,38,18,0
689,Eddie Griffin,PF,['HOU' 'MIN'],60.6,23.4,19.7,2.4,6.6,35.3,0.6,2.1,23.7,1.8,4.5,38.2,39.3,0.7,1.0,69.5,1.4,3.7,5.1,0.7,0.3,1.5,0.7,1.5,6.2,19,24,5,0
690,Tang Hamilton,SF,MIA,9.0,2.0,10.9,1.1,2.1,52.6,0.0,0.1,0.0,1.1,2.0,55.6,52.6,0.0,0.1,0.0,0.7,1.3,2.0,0.6,0.4,0.0,0.2,1.1,2.2,23,23,1,0
691,Trenton Hassell,SG,['CHI' 'MIN' 'TOT' 'DAL' 'NJN'],64.3,39.5,22.4,2.1,4.7,43.6,0.1,0.4,23.2,1.9,4.3,44.7,44.6,0.7,0.9,73.8,0.7,1.8,2.5,1.5,0.4,0.3,0.8,2.0,5.0,22,30,9,0
692,Kirk Haston,PF,['CHH' 'NOH'],13.5,0.0,4.9,0.4,2.0,20.0,0.0,0.2,0.0,0.4,1.8,22.4,20.0,0.2,0.4,50.0,0.2,0.8,1.0,0.3,0.0,0.2,0.4,0.7,1.1,22,23,2,0
693,Brendan Haywood,C,['WAS' 'TOT' 'DAL' 'CHA' 'CLE'],59.5,41.1,23.2,2.7,5.1,52.2,0.0,0.0,0.0,2.7,5.1,52.3,52.2,1.6,2.7,56.3,2.5,3.7,6.2,0.6,0.4,1.5,1.1,2.4,6.9,22,35,13,0
694,Steven Hunter,C,['ORL' 'PHO' 'PHI' 'DEN' 'MEM'],50.0,16.2,13.3,1.6,3.0,53.2,0.0,0.0,0.0,1.6,3.0,53.2,53.2,0.8,1.7,47.4,1.1,1.8,2.8,0.2,0.1,0.9,0.6,1.5,4.1,20,28,8,0
695,Mike James,PG,"['MIA' 'TOT' 'BOS' 'DET' 'MIL' 'HOU' 'TOR' 'MIN' 'NOH' 'WAS' 'CHI' 'DAL'
 'PHO' 'NOP' 'BRK']",39.6,17.4,19.2,2.8,7.1,37.4,0.9,2.4,35.9,1.9,4.6,38.6,43.4,1.1,1.5,73.6,0.3,1.6,1.9,2.9,0.7,0.1,1.2,1.6,7.6,26,38,14,0
696,Richard Jefferson,SF,['NJN' 'MIL' 'SAS' 'TOT' 'GSW' 'UTA' 'DAL' 'CLE' 'DEN'],65.5,44.9,28.1,4.1,9.0,45.4,0.9,2.5,35.7,3.2,6.5,48.7,51.5,2.8,3.6,73.2,0.7,3.2,3.9,2.0,0.6,0.3,1.4,2.1,11.9,21,37,17,0
697,Joe Johnson,SG,['TOT' 'BOS' 'PHO' 'ATL' 'BRK' 'MIA' 'UTA' 'HOU'],62.1,51.5,31.3,5.3,12.0,46.0,1.3,3.6,35.3,4.0,8.3,49.7,51.4,1.8,2.2,81.0,0.7,2.9,3.6,3.4,0.8,0.2,1.7,1.6,13.7,20,40,18,0
698,Alvin Jones,C,PHI,23.0,2.0,5.5,0.3,0.9,40.0,0.0,0.0,,0.3,0.9,40.0,40.0,0.4,0.9,50.0,0.6,1.0,1.6,0.1,0.1,0.4,0.5,1.5,1.1,23,23,1,0
699,Andrei Kirilenko,SF,['UTA' 'MIN' 'BRK'],61.3,42.0,28.1,3.6,7.7,44.3,0.4,1.4,29.5,3.2,6.4,47.6,46.6,3.2,4.3,74.3,1.6,3.5,5.1,2.5,1.3,1.7,1.8,1.9,11.0,20,33,13,0
700,Amal McCaskill,C,['SAS' 'ATL' 'PHI'],32.3,1.0,7.6,0.6,1.8,34.8,0.0,0.0,0.0,0.6,1.8,34.9,34.8,0.3,0.6,63.9,0.7,1.2,1.9,0.3,0.2,0.3,0.4,1.2,1.6,28,30,3,0
701,Terence Morris,SF,['HOU' 'ORL'],46.3,4.0,12.6,1.3,3.4,39.2,0.1,0.6,13.7,1.2,2.7,43.9,40.8,0.2,0.3,81.0,0.7,1.8,2.5,0.5,0.3,0.3,0.5,0.9,3.0,23,27,3,0
702,Troy Murphy,PF,['GSW' 'TOT' 'IND' 'NJN' 'BOS' 'LAL' 'DAL'],52.0,33.4,24.3,3.3,7.6,43.0,0.7,1.9,32.0,2.6,5.6,46.7,47.5,1.7,2.2,76.0,1.5,5.0,6.6,1.3,0.6,0.4,1.1,2.4,9.1,21,32,12,0
703,Dean Oliver,PG,GSW,17.5,0.0,6.6,0.7,2.1,30.6,0.1,0.6,16.0,0.6,1.6,35.8,32.5,0.4,0.5,77.1,0.2,0.4,0.8,1.3,0.4,0.0,0.6,0.7,1.8,23,24,2,0
704,Tony Parker,PG,['SAS' 'CHO'],69.7,63.9,30.1,6.1,12.5,48.6,0.4,1.2,32.3,5.7,11.3,50.5,50.3,2.7,3.6,74.8,0.3,2.3,2.7,5.6,0.8,0.1,2.3,1.6,15.4,19,36,18,0
705,Vladimir Radmanović,PF,['SEA' 'TOT' 'LAC' 'LAL' 'CHA' 'GSW' 'ATL' 'CHI'],51.8,16.2,21.1,2.7,6.7,40.2,1.2,3.4,36.0,1.5,3.3,44.2,49.5,0.8,1.0,75.5,0.9,2.9,3.7,1.3,0.7,0.3,1.1,2.1,7.5,21,32,12,0
706,Zach Randolph,PF,['POR' 'NYK' 'TOT' 'LAC' 'MEM' 'SAC'],61.4,48.8,30.8,6.6,14.2,46.9,0.2,0.8,22.7,6.4,13.4,48.0,47.7,3.2,4.1,75.4,2.9,6.2,9.1,1.8,0.8,0.3,2.0,2.3,16.7,20,36,17,0
707,Željko Rebrača,C,['DET' 'TOT' 'ATL' 'LAC'],34.1,3.4,14.5,2.3,4.4,50.5,0.0,0.0,,2.3,4.4,50.5,50.5,1.1,1.5,74.7,0.9,2.0,2.9,0.4,0.2,0.7,0.9,2.3,5.6,29,33,5,0
708,Jason Richardson,SG,['GSW' 'CHA' 'TOT' 'PHO' 'ORL' 'PHI'],59.4,58.4,33.2,6.2,14.2,43.6,1.9,5.1,37.3,4.3,9.1,47.2,50.6,2.0,2.9,71.1,1.1,3.6,4.7,2.4,1.1,0.4,1.6,2.2,16.4,21,34,13,0
709,Norm Richardson,SG,['TOT' 'IND' 'CHI'],7.3,0.0,5.1,0.7,2.1,27.3,0.3,0.6,50.0,0.4,1.5,24.4,32.8,0.4,0.6,66.7,0.3,0.4,0.6,0.2,0.0,0.0,0.2,0.4,2.2,22,22,1,0
710,Jeryl Sasser,SG,ORL,41.0,2.0,9.4,0.6,2.4,26.2,0.1,0.3,29.5,0.6,2.1,26.4,27.8,0.6,0.8,74.0,0.6,1.1,1.8,0.6,0.5,0.1,0.4,0.8,2.0,22,23,2,0
711,Kenny Satterfield,PG,['DEN' 'TOT' 'PHI'],28.5,4.0,13.1,1.5,4.7,30.0,0.1,0.7,20.6,1.4,4.0,31.6,31.1,0.5,0.8,66.5,0.4,0.7,1.2,2.0,0.6,0.0,1.2,1.0,3.7,20,21,2,0
712,Brian Scalabrine,PF,['NJN' 'BOS' 'CHI'],47.3,5.5,12.0,1.0,2.7,39.9,0.3,0.9,28.8,0.7,1.8,43.7,45.4,0.4,0.5,74.7,0.5,1.3,1.8,0.8,0.3,0.2,0.6,1.5,2.8,23,33,11,0
713,Ansu Sesay,SF,['SEA' 'GSW'],31.8,1.5,11.0,1.4,3.2,43.6,0.0,0.2,26.8,1.4,3.1,45.1,44.6,0.8,1.2,62.7,0.9,1.1,2.0,0.6,0.2,0.2,0.4,1.4,3.8,25,28,4,0
714,Bobby Simmons,SF,['WAS' 'LAC' 'MIL' 'NJN' 'SAS'],46.6,22.8,20.4,2.5,6.0,37.0,0.6,1.8,27.6,1.9,4.2,42.4,42.0,1.2,1.4,79.1,1.0,2.1,3.1,1.2,0.7,0.2,0.9,2.1,6.8,21,31,10,0
715,Leon Smith,C,['ATL' 'SEA'],7.5,0.0,5.6,0.8,2.0,44.2,0.0,0.0,,0.8,2.0,44.2,44.2,0.4,0.6,64.7,0.8,1.2,2.1,0.1,0.2,0.0,0.1,1.0,2.1,21,23,2,0
716,Will Solomon,PG,['MEM' 'TOT' 'TOR' 'SAC'],42.0,5.5,13.4,1.9,4.8,40.3,0.6,2.0,33.0,1.3,2.8,44.2,47.1,0.6,0.8,68.5,0.2,1.0,1.2,2.0,0.5,0.1,0.9,1.2,5.0,23,30,2,0
717,Etan Thomas,C,['WAS' 'OKC' 'ATL'],45.4,8.2,15.4,1.9,3.7,50.5,0.0,0.0,,1.9,3.7,50.5,50.5,1.2,2.0,62.4,1.4,2.7,4.1,0.3,0.3,0.9,0.9,1.9,5.0,23,32,9,0
718,Jamaal Tinsley,PG,['IND' 'MEM' 'UTA'],49.7,36.7,24.8,3.0,7.7,37.5,0.7,2.4,26.5,2.3,5.3,45.3,42.0,1.2,1.7,72.4,0.6,2.2,2.7,5.6,1.3,0.2,2.4,2.2,7.9,23,35,11,0
719,Óscar Torres,SG,['HOU' 'GSW'],41.0,6.5,11.4,1.5,3.6,42.0,0.5,1.4,41.6,1.0,2.3,42.4,49.6,1.0,1.4,74.0,0.4,0.8,1.3,0.4,0.3,0.1,0.6,0.8,4.6,25,26,2,0
720,Jeff Trepagnier,SG,['CLE' 'DEN'],10.3,0.0,9.1,1.2,3.5,33.1,0.2,0.5,33.3,1.0,3.0,32.0,35.6,0.5,0.7,69.0,0.6,0.9,1.5,0.7,0.7,0.1,0.8,0.6,3.1,22,24,3,0
721,Ratko Varda,C,DET,1.0,0.0,6.0,2.0,3.0,66.7,0.0,0.0,,2.0,3.0,66.7,66.7,1.0,1.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,22,22,1,0
722,Gerald Wallace,SF,['SAC' 'CHA' 'TOT' 'POR' 'NJN' 'BRK' 'BOS'],53.4,40.7,29.5,4.2,9.0,45.7,0.5,1.7,27.7,3.6,7.3,49.0,48.3,2.8,4.0,66.4,1.4,4.4,5.8,2.1,1.4,0.8,1.7,2.2,11.8,19,32,14,0
723,Earl Watson,PG,['SEA' 'MEM' 'TOT' 'DEN' 'OKC' 'IND' 'UTA' 'POR'],63.2,15.8,21.4,2.4,5.7,39.7,0.7,1.9,31.4,1.7,3.8,43.1,45.3,1.0,1.4,71.3,0.5,1.7,2.2,4.2,1.0,0.2,1.7,2.0,6.3,22,34,13,0
724,Rodney White,SF,['DET' 'DEN' 'TOT' 'GSW'],46.0,3.8,12.8,2.3,5.6,40.7,0.4,1.1,33.1,1.9,4.4,42.5,44.0,0.8,1.0,70.4,0.4,1.4,1.8,0.9,0.5,0.2,1.0,1.2,5.7,21,24,4,0
725,Loren Woods,C,['MIN' 'MIA' 'TOR' 'HOU'],35.8,7.8,10.2,0.9,2.1,44.9,0.0,0.0,8.3,0.9,2.1,45.2,45.0,0.5,0.8,62.3,1.1,1.8,2.8,0.3,0.2,0.5,0.6,1.2,2.4,23,29,6,0
726,Robert Archibald,PF,['MEM' 'TOT' 'PHO' 'ORL' 'TOR'],15.2,1.2,6.4,0.4,1.3,26.8,0.0,0.0,,0.4,1.3,26.8,26.8,0.5,1.5,36.4,0.4,1.0,1.3,0.4,0.4,0.1,0.4,1.0,1.3,22,23,2,0
727,Lonny Baxter,C,['CHI' 'TOT' 'TOR' 'WAS' 'NOH' 'HOU' 'CHA'],29.4,1.1,10.8,1.4,3.0,44.6,0.0,0.0,26.7,1.4,3.0,44.8,44.8,0.7,1.0,61.8,1.0,1.7,2.8,0.2,0.2,0.3,0.6,1.9,3.4,24,27,4,0
728,Corey Benjamin,SG,ATL,9.0,0.0,16.9,1.4,4.8,30.2,0.2,1.4,15.4,1.2,3.3,36.7,32.6,1.3,1.8,75.0,1.1,2.3,3.4,1.1,0.1,0.2,0.7,2.2,4.4,24,24,1,0
729,Carlos Boozer,PF,['CLE' 'UTA' 'CHI' 'LAL'],66.2,59.6,31.3,6.8,13.1,52.0,0.0,0.0,2.4,6.8,13.0,52.1,52.0,2.7,3.7,71.9,2.4,7.1,9.5,2.3,0.9,0.4,2.1,3.1,16.3,21,33,13,0
730,J.R. Bremer,PG,['BOS' 'TOT' 'CLE' 'GSW'],34.0,11.2,14.2,1.5,5.1,27.9,0.7,2.6,22.4,0.8,2.5,31.7,33.8,0.5,0.7,68.9,0.3,1.0,1.2,1.9,0.4,0.0,0.8,1.0,4.2,22,23,2,0
731,Devin Brown,SG,['TOT' 'SAS' 'DEN' 'UTA' 'NOK' 'CLE' 'NOH' 'CHI'],43.8,13.8,17.2,2.2,5.8,37.9,0.6,1.6,26.4,1.6,4.1,39.7,41.9,1.2,1.6,79.1,0.7,1.8,2.5,1.3,0.6,0.1,1.0,1.6,6.1,24,31,8,0
732,Pat Burke,C,['ORL' 'PHO'],42.3,2.7,9.3,1.4,3.5,41.1,0.1,0.4,23.4,1.3,3.2,43.0,42.9,0.4,0.7,64.1,0.6,1.4,2.0,0.3,0.2,0.3,0.6,1.3,3.4,29,33,3,0
733,Caron Butler,SF,['MIA' 'LAL' 'WAS' 'TOT' 'DAL' 'LAC' 'MIL' 'OKC' 'DET' 'SAC'],56.2,45.5,31.1,5.0,11.7,42.6,0.9,2.6,33.0,4.1,9.1,44.7,47.1,2.6,3.1,83.8,1.1,3.7,4.8,2.1,1.3,0.2,1.7,2.4,13.6,22,35,14,0
734,Rasual Butler,SF,['MIA' 'NOK' 'NOH' 'LAC' 'TOT' 'CHI' 'TOR' 'IND' 'WAS' 'SAS'],57.1,17.9,18.5,2.4,6.0,40.7,1.0,2.8,37.0,1.4,3.3,43.7,49.7,0.6,0.8,71.6,0.3,1.8,2.1,0.7,0.3,0.4,0.6,1.2,6.4,23,36,13,0
735,Dan Dickau,PG,['ATL' 'TOT' 'POR' 'DAL' 'NOH' 'BOS' 'LAC'],41.4,10.3,13.2,1.7,4.4,36.3,0.5,1.5,34.7,1.2,2.9,36.4,42.4,1.0,1.2,80.9,0.2,0.9,1.1,2.1,0.5,0.0,1.0,1.5,4.9,24,29,6,0
736,Juan Dixon,SG,['WAS' 'POR' 'TOT' 'TOR' 'DET'],51.8,7.5,18.7,3.0,7.3,41.4,0.8,2.2,35.7,2.3,5.1,44.1,46.6,1.1,1.3,81.8,0.3,1.5,1.8,1.7,0.7,0.1,1.2,1.7,7.9,24,30,7,0
737,Mike Dunleavy,SF,['GSW' 'TOT' 'IND' 'MIL' 'CHI' 'CLE' 'ATL'],59.0,33.5,26.4,3.8,8.6,43.5,1.3,3.4,36.9,2.5,5.2,47.6,51.4,1.8,2.3,79.9,0.7,3.4,4.0,2.1,0.7,0.3,1.3,2.0,10.6,22,36,15,0
738,Melvin Ely,C,['LAC' 'CHA' 'TOT' 'SAS' 'NOH' 'DEN' 'NOP'],36.8,5.0,13.9,1.7,3.7,43.8,0.0,0.0,0.0,1.7,3.7,43.9,43.8,0.9,1.5,62.8,0.9,1.7,2.6,0.6,0.2,0.5,0.9,2.0,4.2,24,35,9,0
739,Reggie Evans,PF,['SEA' 'TOT' 'DEN' 'PHI' 'TOR' 'LAC' 'BRK' 'SAC'],54.7,24.5,19.0,1.4,3.0,46.4,0.0,0.0,12.5,1.4,3.0,46.6,46.5,1.4,2.6,53.2,2.4,4.7,7.0,0.6,0.7,0.1,1.1,2.3,4.2,22,34,13,0
740,Dan Gadzuric,C,['MIL' 'TOT' 'GSW' 'NJN' 'NYK'],47.4,14.4,13.0,1.6,3.4,43.0,0.0,0.0,0.0,1.6,3.4,43.2,43.0,0.5,1.2,42.1,1.5,2.3,3.9,0.3,0.4,0.8,0.7,2.3,3.7,24,33,10,0
741,Manu Ginóbili*,SG,SAS,66.1,21.8,25.1,4.3,9.6,44.8,1.4,3.8,36.8,2.9,5.8,50.1,52.2,3.1,3.8,82.3,0.6,2.9,3.5,3.8,1.3,0.3,2.0,2.1,13.2,25,40,16,0
742,Gordan Giriček,SG,['TOT' 'MEM' 'ORL' 'UTA' 'PHI' 'PHO'],45.3,22.8,22.5,3.6,8.3,43.2,0.8,2.2,36.2,2.9,6.2,45.8,48.1,1.3,1.6,84.4,0.5,2.0,2.5,1.5,0.6,0.1,1.3,1.8,9.4,25,30,6,0
743,Drew Gooden,PF,['TOT' 'MEM' 'ORL' 'CLE' 'CHI' 'SAC' 'SAS' 'DAL' 'LAC' 'MIL' 'WAS'],45.7,29.3,24.7,4.3,9.2,45.8,0.1,0.4,15.4,4.2,8.9,46.9,46.5,2.2,2.8,78.3,2.3,4.8,7.1,1.1,0.6,0.6,1.5,2.5,10.8,21,34,14,0
744,Marcus Haislip,PF,['MIL' 'IND' 'SAS'],22.2,2.0,9.0,1.3,3.2,43.4,0.1,0.2,33.8,1.2,2.9,43.0,45.6,0.5,0.9,58.6,0.5,0.9,1.4,0.2,0.2,0.3,0.4,1.1,3.3,22,29,4,0
745,Adam Harrington,SG,['TOT' 'DAL' 'DEN'],12.7,0.0,7.0,0.7,2.2,29.4,0.4,0.9,35.1,0.3,1.3,26.9,36.0,0.2,0.2,75.0,0.1,0.5,0.5,0.8,0.1,0.1,0.1,0.5,1.9,22,22,1,0
746,Junior Harrington,PG,['DEN' 'NOH' 'MEM'],46.7,22.0,20.7,2.1,5.5,37.9,0.2,0.6,27.8,1.9,4.9,39.5,39.6,1.0,1.4,71.8,0.4,2.0,2.5,2.9,0.9,0.2,1.7,2.7,5.3,22,26,3,0
747,Juaquin Hawkins,SG,HOU,58.0,10.0,11.8,1.0,2.6,38.5,0.2,0.4,41.7,0.8,2.1,37.9,41.9,0.2,0.3,50.0,0.3,1.1,1.3,0.8,0.5,0.1,0.5,1.0,2.3,29,29,1,0
748,Nenê,C,['DEN' 'TOT' 'WAS' 'HOU'],52.8,34.7,24.1,4.1,7.5,51.2,0.0,0.1,6.3,4.1,7.5,51.6,51.2,2.4,3.7,64.9,1.6,4.1,5.7,1.7,0.9,0.7,1.8,2.8,10.5,20,36,17,0
749,Nate Huffman,C,TOR,7.0,0.0,10.9,1.3,3.6,36.0,0.0,0.0,,1.3,3.6,36.0,36.0,0.7,1.1,62.5,1.3,2.0,3.3,0.7,0.1,0.4,0.4,1.9,3.3,27,27,1,0
750,Ryan Humphrey,PF,['TOT' 'ORL' 'MEM'],26.6,0.4,8.5,0.8,2.5,31.3,0.0,0.1,0.0,0.8,2.4,33.1,31.3,0.4,0.7,54.4,0.9,1.2,2.1,0.3,0.3,0.2,0.6,1.4,2.0,23,25,3,0
751,Casey Jacobsen,SF,['PHO' 'TOT' 'NOH' 'MEM'],61.8,2.5,18.9,1.7,4.3,39.1,0.7,2.0,34.6,1.0,2.3,44.8,47.5,1.3,1.7,77.0,0.4,1.4,1.8,1.1,0.4,0.1,0.8,1.2,5.4,21,26,4,0
752,Marko Jarić,PG,['LAC' 'MIN' 'MEM'],63.9,31.6,25.0,2.6,6.6,39.7,0.7,1.9,35.2,2.0,4.7,41.8,44.6,1.2,1.6,72.9,0.6,2.1,2.6,3.6,1.3,0.3,1.6,2.1,7.1,24,30,7,0
753,Chris Jefferies,SF,['TOR' 'TOT' 'CHI'],23.2,3.5,9.0,1.4,3.4,40.6,0.6,1.7,37.0,0.8,1.8,42.6,49.8,0.6,0.8,73.9,0.2,0.9,1.2,0.4,0.2,0.2,0.8,1.2,4.0,22,23,2,0
754,Jared Jeffries,PF,['WAS' 'NYK' 'TOT' 'HOU' 'POR'],49.4,25.4,19.7,1.6,3.8,40.8,0.1,0.4,21.9,1.5,3.4,43.1,42.2,0.8,1.4,54.6,1.7,2.0,3.7,1.1,0.7,0.5,0.9,2.3,4.2,21,31,11,0
755,Ken Johnson,C,MIA,16.0,0.0,9.8,0.9,2.3,40.5,0.0,0.0,,0.9,2.3,40.5,40.5,0.1,0.4,33.3,0.3,1.8,2.0,0.0,0.1,0.8,0.4,1.3,2.0,24,24,1,0
756,Fred Jones,SG,['IND' 'TOT' 'TOR' 'POR' 'NYK' 'LAC'],54.8,10.0,21.9,2.3,5.6,39.9,0.7,2.1,32.7,1.6,3.6,43.6,45.8,1.4,1.7,80.7,0.3,1.6,2.0,2.1,0.8,0.3,1.1,1.8,6.7,23,29,7,0
757,Sean Lampley,SF,['MIA' 'GSW'],22.5,0.0,10.1,1.5,2.8,54.2,0.0,0.0,0.0,1.5,2.8,54.9,54.2,1.2,1.8,68.1,0.4,1.2,1.8,0.6,0.1,0.1,0.5,0.7,4.1,23,24,2,0
758,Tito Maddox,SG,HOU,9.0,0.0,3.9,0.3,1.3,25.0,0.0,0.3,0.0,0.3,1.0,33.3,25.0,0.6,0.9,62.5,0.1,0.7,0.8,0.6,0.3,0.1,0.3,0.4,1.2,21,21,1,0
